1100467	3	3	163032	163032	489096	54344	54344	163032	18114	18114	54342	6039	6040	18118	2012	2013	6038	670	670	2010	224	224	672
1100471	7	7	115500	115502	808506	16500	16502	115506	2356	2358	16500	335	337	2352	48	49	340	6	7	48	1	2	8
1100483	2	2	137561	137561	275122	68780	68780	137560	34390	34390	68780	17195	17195	34390	8597	8597	17194	4299	4299	8598	2150	2150	4300
1100503	3	3	163037	163038	489112	54344	54346	163036	18115	18116	54346	6039	6040	18118	2012	2013	6038	670	670	2010	224	224	672
1100509	6	6	127373	127374	764240	21230	21230	127380	3537	3537	21222	589	590	3536	98	99	592	17	18	104	1	3	14
1100557	2	2	137569	137569	275138	68785	68785	137570	34393	34393	68786	17196	17196	34392	8598	8598	17196	4299	4299	8598	2149	2149	4298
1100557	6	6	127379	127379	764274	21230	21230	127380	3538	3538	21228	590	591	3542	97	99	588	16	17	98	2	4	18
1100581	2	2	137572	137572	275144	68787	68787	137574	34393	34393	68786	17196	17196	34392	8599	8599	17198	4299	4299	8598	2149	2149	4298
1100581	6	6	127381	127383	764290	21230	21231	127384	3538	3539	21232	589	590	3536	98	98	588	16	17	98	3	4	22
1100653	2	2	137581	137581	275162	68791	68791	137582	34396	34396	68792	17197	17197	34394	8599	8599	17198	4300	4300	8600	2149	2149	4298
1100653	6	6	127390	127391	764342	21231	21232	127390	3537	3540	21230	589	592	3542	97	98	586	17	17	102	2	3	14
1100683	2	2	137586	137586	275172	68792	68792	137584	34397	34397	68794	17198	17198	34396	8599	8599	17198	4299	4299	8598	2150	2150	4300
1100683	3	3	163064	163064	489192	54354	54354	163062	18119	18120	54358	6038	6039	18116	2014	2014	6042	670	670	2010	224	224	672
1100747	2	2	137594	137594	275188	68796	68796	137592	34399	34399	68798	17199	17199	34398	8599	8599	17198	4300	4300	8600	2150	2150	4300
1100797	2	2	137599	137599	275198	68800	68800	137600	34400	34400	68800	17200	17200	34400	8600	8600	17200	4300	4300	8600	2150	2150	4300
1100797	6	6	127406	127408	764440	21234	21235	127408	3539	3539	21234	590	591	3542	97	99	588	16	17	98	2	4	18
1100807	7	7	115536	115538	808758	16504	16505	115530	2358	2360	16512	335	337	2352	48	49	340	6	7	48	1	2	8
1100837	2	2	137604	137604	275208	68803	68803	137606	34401	34401	68802	17200	17200	34400	8601	8601	17202	4300	4300	8600	2150	2150	4300
1100839	3	3	163086	163087	489260	54362	54363	163088	18121	18122	54364	6040	6040	18120	2013	2014	6040	670	671	2012	224	224	672
1100887	3	3	163095	163096	489286	54364	54365	163094	18120	18121	54362	6041	6042	18124	2013	2014	6040	670	671	2012	224	224	672
1100893	2	2	137611	137611	275222	68806	68806	137612	34403	34403	68806	17202	17202	34404	8600	8600	17200	4301	4301	8602	2150	2150	4300
1100893	6	6	127418	127419	764510	21235	21238	127420	3537	3541	21234	589	592	3542	97	98	586	17	17	102	2	3	14
1100899	2	2	137613	137613	275226	68806	68806	137612	34403	34403	68806	17201	17201	34402	8601	8601	17202	4301	4301	8602	2150	2150	4300
