1100807	7	7	22465	22466	1100806	3209	3210	1100806	458	459	1100806	65	66	1100806	9	10	1100806	1	2	1100806
1100837	2	2	275209	275209	1100836	137604	137605	1100836	68802	68803	1100836	34401	34402	1100836	17200	17201	1100836	8600	8601	1100836
1100839	3	3	122315	122316	1100838	40771	40772	1100838	13590	13591	1100838	4530	4531	1100838	1510	1511	1100838	503	504	1100838
1100887	3	3	122320	122321	1100886	40773	40774	1100886	13591	13592	1100886	4530	4531	1100886	1510	1511	1100886	503	504	1100886
1100893	2	2	275223	275223	1100892	137611	137612	1100892	68805	68806	1100892	34402	34403	1100892	17201	17202	1100892	8600	8601	1100892
1100893	6	6	30580	30581	1100892	5096	5097	1100892	849	850	1100892	141	142	1100892	23	24	1100892	3	4	1100892
1100899	2	2	275224	275225	1100898	137612	137613	1100898	68806	68807	1100898	34403	34404	1100898	17201	17202	1100898	8600	8601	1100898
1100899	3	3	122322	122322	1100898	40774	40774	1100898	13591	13592	1100898	4530	4531	1100898	1510	1511	1100898	503	504	1100898
1100909	2	2	275227	275227	1100908	137613	137614	1100908	68806	68807	1100908	34403	34404	1100908	17201	17202	1100908	8600	8601	1100908
1100933	2	2	275233	275233	1100932	137616	137617	1100932	68808	68809	1100932	34404	34405	1100932	17202	17203	1100932	8601	8602	1100932
1100947	3	3	122327	122328	1100946	40775	40776	1100946	13591	13592	1100946	4530	4531	1100946	1510	1511	1100946	503	504	1100946
1100947	7	7	22468	22469	1100946	3209	3210	1100946	458	459	1100946	65	66	1100946	9	10	1100946	1	2	1100946
1101091	2	2	275272	275273	1101090	137636	137637	1101090	68818	68819	1101090	34409	34410	1101090	17204	17205	1101090	8602	8603	1101090
1101091	3	3	122343	122344	1101090	40781	40782	1101090	13593	13594	1101090	4531	4532	1101090	1510	1511	1101090	503	504	1101090
1101103	3	3	122344	122345	1101102	40781	40782	1101102	13593	13594	1101102	4531	4532	1101102	1510	1511	1101102	503	504	1101102
1101103	6	6	30586	30587	1101102	5097	5098	1101102	849	850	1101102	141	142	1101102	23	24	1101102	3	4	1101102
1101109	6	6	30586	30587	1101108	5097	5098	1101108	849	850	1101108	141	142	1101108	23	24	1101108	3	4	1101108
1101127	3	3	122347	122348	1101126	40782	40783	1101126	13594	13595	1101126	4531	4532	1101126	1510	1511	1101126	503	504	1101126
1101143	7	7	22472	22473	1101142	3210	3211	1101142	458	459	1101142	65	66	1101142	9	10	1101142	1	2	1101142
